co_sigtap,no_sigtap,sg_procedimento
0604040075,0604040075 FORMOTEROL 6MCG + BUDESONIDA 200 MCG (POR CAPSULA INALANTE),FORMO6
0604040083,0604040083 SALBUTAMOL 100 MCG AEROSSOL (POR FRASCO DE 200 DOSES),SALBU100
0604040091,0604040091 SALMETEROL 50 MCG PO INALANTE OU AEROSSOL BUCAL (POR FRASCO DE 60 DOSES),SALME50
0604050011,0604050011 CODEINA 3 MG/ML SOLUCAO ORAL (POR FRASCO DE 120 ML),CODEI3
0604050020,0604050020 CODEINA 30 MG/ML (POR AMPOLA DE 2 ML),CODEI30
0604050038,0604050038 CODEINA 30 MG (POR COMPRIMIDO),CODEI30
0604050046,0604050046 CODEINA 60 MG (POR COMPRIMIDO),CODEI60
0604050054,0604050054 MORFINA 10 MG/ML (POR AMPOLA DE 1 ML),MORFI10
0604050062,0604050062 MORFINA 10 MG/ML SOLUCAO ORAL (POR FRASCO DE 60 ML),MORFI10
0604050070,0604050070 MORFINA 10 MG (POR COMPRIMIDO),MORFI10
