tabulador,url
Imunizações – desde 1994 - Doses aplicadas,http://tabnet.datasus.gov.br/cgi/dhdat.exe?bd_pni/dpnibr.def
Imunizações – desde 1994 - Cobertura,http://tabnet.datasus.gov.br/cgi/dhdat.exe?bd_pni/cpnibr.def
Imunizações – desde 1994 - Taxa de Abandono,http://tabnet.datasus.gov.br/cgi/dhdat.exe?bd_pni/tpnibr.def
Produção Ambulatorial (SIA/SUS) - Por local de atendimento - a partir de 2008,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sia/cnv/qabr.def
Produção Ambulatorial (SIA/SUS) - Por local de atendimento - de 1994 a 2007,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sia/cnv/pabr.def
Produção Ambulatorial (SIA/SUS) - Por local de residência - a partir de 2008,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sia/cnv/qbbr.def
Produção Ambulatorial (SIA/SUS) - Por gestor - a partir de 2008,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sia/cnv/qgbr.def
"Produção Hospitalar (SIH/SUS) - Dados Consolidados AIH (RD), por local de internação, a partir de 2008",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/qibr.def
"Produção Hospitalar (SIH/SUS) - Dados Consolidados AIH (RD), por local de internação, de 1992 a 2007",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/pibr.def
"Produção Hospitalar (SIH/SUS) - Dados Consolidados AIH (RD), por local de residência, a partir de 2008",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/qrbr.def
"Produção Hospitalar (SIH/SUS) - Dados Consolidados AIH (RD), por local de residência, de 1995 a 2007",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/pruf.def
"Produção Hospitalar (SIH/SUS) - Dados Consolidados AIH (RD), por gestor, a partir de 2008",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/qgbr.def
"Produção Hospitalar (SIH/SUS) - Dados Detalhados de AIH (SP), por local de internação, 2008 em diante",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/spauf.def
